quarter,level_1,level_2,level_3,value
1975-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,654.8
1975-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,228.5
1975-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,61.3
1975-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,69.5
1975-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,672.7
1975-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,291.2
1975-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,112.4
1975-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,69.8
1975-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,248.9
1975-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,268.5
1975-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,328.1
1975-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,692.8
1975-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,256.3
1975-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,71.2
1975-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,70.5
1975-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,704.8
1975-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,303.2
1975-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,110.7
1975-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,65.5
1975-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,235.6
1975-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,275.6
1975-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,324.2
1975-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,785
1975-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,272.6
1975-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,73.5
1975-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,74.5
1975-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,715.9
1975-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,331.6
1975-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,116.6
1975-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,65.9
1975-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,241.9
1975-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,288.4
1975-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,344.8
1975-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,809.9
1975-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,294.9
1975-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,83.2
1975-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,81.4
1975-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,724.7
1975-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,335.6
1975-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,123.4
1975-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,72.8
1975-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,261.1
1975-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,286.4
1975-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,402.6
1976-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,744.6
1976-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,271.7
1976-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,73.4
1976-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,76.7
1976-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,677.4
1976-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,364
1976-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,125.1
1976-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,71.2
1976-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,270.2
1976-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,288.9
1976-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,357.3
1976-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,793.5
