year|university|degree|basic_monthly_mean
2009|Singapore Management University|Information Systems Management (4-yr programme) Cum Laude and above|4000
2009|Singapore Management University|Economics (4-yr programme) Cum Laude and above|3200
2009|Singapore Management University|Economics (4-yr programme)|3000
2009|National University of Singapore|Business Administration (Honours)|3000
2009|Singapore Management University|Business Management (4-yr programme) Cum Laude and above|3000
2009|National University of Singapore|Chemical Engineering|3000
2009|National University of Singapore|Industrial & Systems Engineering|3000
2009|National University of Singapore|Dental Surgery|3000
2009|Nanyang Technological University|Chemical & Biomolecular Engineering|3000
2009|Nanyang Technological University|Aerospace Engineering|3000
2009|Nanyang Technological University|Arts (with Education)|3000
2009|National University of Singapore|Information Systems|2975
2009|Nanyang Technological University|Physics & Applied Physics|2950
2009|National University of Singapore|Computer Engineering|2900
2009|Nanyang Technological University|Chemistry & Biological Chemistry|2900
2009|National University of Singapore|Computer Science|2900
2009|Nanyang Technological University|Computer Science|2900
2009|Nanyang Technological University|Science (with Education)|2900
2009|Nanyang Technological University|Computer Engineering|2900
2009|National University of Singapore|Mechanical Engineering|2900
2009|National University of Singapore|Science (Honours)|2900
2010|National University of Singapore|Laws|4770
2010|Singapore Management University|Information Systems Management (4-yr programme) Cum Laude and above|4547
2010|National University of Singapore|Medicine and Surgery|3852
2010|Singapore Management University|Business Management (4-yr programme) Cum Laude and above|3750
2010|Singapore Management University|Accountancy Cum Laude and above|3625
2010|Singapore Management University|Economics (4-yr programme) Cum Laude and above|3579
2010|Singapore Management University|Social Sciences (4-yr programme) Cum Laude and above|3479
2010|Singapore Management University|Information Systems Management (4-yr programme)|3474
2010|National University of Singapore|Architecture|3445
2010|Singapore Management University|Economics (4-yr programme)|3429
2010|Nanyang Technological University|Computer Science|3385
2010|National University of Singapore|Information Systems|3384
2010|National University of Singapore|Industrial & Systems Engineering|3357
2010|Nanyang Technological University|Aerospace Engineering|3344
2010|National University of Singapore|Pharmacy|3298
2010|Singapore Management University|Business Management (4-yr programme)|3292
2010|National University of Singapore|Computer Science|3289
2010|Nanyang Technological University|Arts (with Education)|3281
2010|Nanyang Technological University|Computer Engineering|3272
2010|National University of Singapore|Chemical Engineering|3259
2010|National University of Singapore|Electrical Engineering|3235
2010|National University of Singapore|Business Administration (Honours)|3232
2010|Nanyang Technological University|Science (with Education)|3199
2010|Nanyang Technological University|Chemical & Biomolecular Engineering|3182
2010|National University of Singapore|Computer Engineering|3163
2010|Singapore Management University|Accountancy (4-yr programme)|3162
2010|Nanyang Technological University|Bioengineering|3160
2010|Nanyang Technological University|Mathematics & Economics|3147
2010|National University of Singapore|Computer Engineering|3140
2010|Nanyang Technological University|Chinese|3118
2010|National University of Singapore|Dental Surgery|3116
2010|Nanyang Technological University|Electrical & Electronic Engineering|3110
2010|National University of Singapore|Material Science and Engineering|3107
2010|National University of Singapore|Business Administration (Accountancy)(Honours)|3081
2010|Nanyang Technological University|Materials Engineering|3079
2010|National University of Singapore|Mechanical Engineering|3067
2010|Nanyang Technological University|Mechanical Engineering|3064
2010|National University of Singapore|Social Sciences (Honours)|3062
2010|National University of Singapore|Science (Honours)|3049
2010|National University of Singapore|E.Commerce|3049
2010|Nanyang Technological University|Mathematical Sciences|3022
2010|National University of Singapore|Arts (Honours)|3021
2010|National University of Singapore|Business Administration (3-yr programme)|3008
2010|Nanyang Technological University|Economics|2995
2010|National University of Singapore|Communication and Media|2993
2010|Nanyang Technological University|Environmental Engineering|2982
2010|Nanyang Technological University|Chemistry & Biological Chemistry|2981
2010|Nanyang Technological University|Biological Sciences|2952
2010|Nanyang Technological University|Biomedical Sciences|2950
2010|Nanyang Technological University|Sociology|2950
2010|National University of Singapore|Applied Science (Honours)|2944
2010|National University of Singapore|Computing|2935
2010|Nanyang Technological University|Business (3-yr direct Honours programme)|2933
2010|Nanyang Technological University|Psychology|2932
2010|Nanyang Technological University|Civil Engineering|2911
2010|National University of Singapore|Environmental Engineering|2895
2010|Nanyang Technological University|Physics|2862
2010|Nanyang Technological University|Maritime Studies|2857
2010|Nanyang Technological University|Communication Studies|2836
2010|Singapore Management University|Social Sciences (4-yr programme)|2824
2010|National University of Singapore|Bioengineering|2804
2010|Nanyang Technological University|Accountancy (3-yr direct Honours programme)|2778
2010|National University of Singapore|Real Estate|2762
2010|National University of Singapore|Civil Engineering|2757
2010|National University of Singapore|Business Administration (Accountancy)|2692
2010|National University of Singapore|Project and Facilities Management|2657
2010|National University of Singapore|Nursing|2655
2010|National University of Singapore|Science|2653
2010|National University of Singapore|Arts|2627
2010|Nanyang Technological University|English Literature|2603
2010|Nanyang Technological University|Art, Design & Media|2600
2010|National University of Singapore|Engineering Science|2571
